"the_version","host","pct_of_iso"
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2013(E)","catalog.data.gov",0.02
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009(E)","ca.water.usgs.gov",100.00
"UK GEMINI; 2.1","www.datanorthyorkshire.org",100.00
"MEDIN Discovery Metadata Standard; Version 2.3.7","portal.oceannet.org",0.96
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009","data.noaa.gov",0.08
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data; ISO 19115-2:2009","catalog.data.gov",0.02
"ISO 19115-2; ISO 19115-2:2009(E)","www.usgs.gov",0.09
"ISO 19115-2 Geographic information - Metadata - Part 2: Extensions for Imagery and Gridded Data between June 8, 2011 and July 28, 2011; ISO 19115-2:2009(E)","data.noaa.gov",0.08
"ISO 19115-2; ISO 19115-2:2009(E)","arcticlcc.org",100.00
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","epa.gov",100.00
"NAP - Metadata; 1.2","data.ottawa.ca",14.29
"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data; 2007","data.noaa.gov",0.08
"ISO 19115 Geographic information - Metadata; ISO 19115:2003(E)","www.epa.gov",100.00
